#{"t_start": 1647429536.0994182, "env_id": "MiniGrid-DoorKey-6x6-v0"}
r,l,t
0,360,694.053259
0,360,694.826972
0,360,695.523469
0,360,696.23438
0,360,696.822291
0,360,1224.774856
0.9575,17,1224.808162
0,360,1225.463235
0,360,1226.14948
0.9775,9,1226.167371
0,360,1766.02652
0.9775,9,1766.047313
0.9775,9,1766.066352
0.98,8,1766.08262
0.9725,11,1766.105006
0.9675,13,2307.026836
0.965,14,2307.05364
0,360,2307.725627
0.9775,9,2307.743939
0.96,16,2307.77335
0.9675,13,2842.826946
0.965,14,2842.851386
0.97,12,2842.872273
0,360,2843.457042
0.945,22,2843.494033
0.9775,9,3377.434243
0.965,14,3377.460597
0.97,12,3377.484879
0.9625,15,3377.513405
0,360,3378.184741
